participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
1222,1,1,1,1,R,X,"1,3,4,2",1,0.6151359000000411,0.6151359000000411,s,s,True,False,False,1,,1,2,1,2
1222,1,1,2,2,P,X,"1,3,4,2",1,0.2943190000000868,0.2943190000000868,s,s,True,False,False,1,,1,2,1,2
1222,1,1,3,3,R,L,"1,3,4,2",4,0.3016717000000426,0.3016717000000426,l,l,True,False,False,1,,1,2,1,2
1222,1,1,4,4,P,H,"1,3,4,2",3,0.2729862999999568,0.2729862999999568,j,j,True,False,False,1,,1,2,1,2
1222,1,1,5,5,R,H,"1,3,4,2",2,0.2248882999997477,0.2248882999997477,f,f,True,False,False,1,,1,2,1,2
1222,1,1,6,6,P,H,"1,3,4,2",4,0.27421670000012455,0.27421670000012455,l,l,True,False,False,1,,1,2,1,2
1222,1,1,7,7,R,L,"1,3,4,2",3,0.2356579999996029,0.2356579999996029,j,j,True,False,False,1,,1,2,1,2
1222,1,1,8,8,P,H,"1,3,4,2",2,0.22780180000017936,0.22780180000017936,f,f,True,False,False,1,,1,2,1,2
1222,1,1,9,9,R,T,"1,3,4,2",3,0.24598789999981818,0.24598789999981818,j,l,False,False,False,1,,1,2,1,2
1222,1,1,9,9,R,T,"1,3,4,2",3,0.15140300000030038,0.39739090000011856,j,j,True,False,False,1,,1,2,1,2
1222,1,1,10,10,P,H,"1,3,4,2",1,0.1983314999997674,0.1983314999997674,s,f,False,False,False,1,,1,2,1,2
1222,1,1,10,10,P,H,"1,3,4,2",1,0.09599340000022494,0.29432489999999234,s,s,True,False,False,1,,1,2,1,2
1222,1,1,11,11,R,L,"1,3,4,2",2,0.24458309999999983,0.24458309999999983,f,j,False,False,False,1,,1,2,1,2
1222,1,1,11,11,R,L,"1,3,4,2",2,0.025082099999963248,0.2696651999999631,f,f,True,False,False,1,,1,2,1,2
1222,1,1,12,12,P,H,"1,3,4,2",3,0.196440100000018,0.196440100000018,j,f,False,False,False,1,,1,2,1,2
1222,1,1,12,12,P,H,"1,3,4,2",3,0.07195389999969848,0.26839399999971647,j,j,True,False,False,1,,1,2,1,2
1222,1,1,13,13,R,L,"1,3,4,2",4,0.24494479999975738,0.24494479999975738,l,l,True,False,False,1,,1,2,1,2
1222,1,1,14,14,P,H,"1,3,4,2",4,0.28718809999963923,0.28718809999963923,l,l,True,False,False,1,,1,2,1,2
1222,1,1,15,15,R,L,"1,3,4,2",1,0.2631012000001647,0.2631012000001647,s,s,True,False,False,1,,1,2,1,2
1222,1,1,16,16,P,H,"1,3,4,2",2,0.23070430000007036,0.23070430000007036,f,f,True,False,False,1,,1,2,1,2
